Timestamp,Load_Demand_MW,Gen1_MW,Gen2_MW,Gen3_MW,Gen4_MW,Total_Cost
2018-09-01 00:00:00,5239.162646615167,1102.4982869149742,2136.6643825532988,500.0,1500,106343.93159506758
2018-09-01 01:00:00,5317.1335573776405,1133.1277096292913,2177.503612839055,506.50216770343303,1500,108252.2678164352
2018-09-01 02:00:00,5437.028545589981,1171.39201837736,2228.5226911698132,537.1136147018881,1500,111202.76451881518
2018-09-01 03:00:00,5577.128392169149,1216.104677888766,2288.1395705183545,572.8837423110128,1500,114673.73282988241
2018-09-01 04:00:00,5664.051973136243,1243.8462106184068,2325.1282808245423,595.0769684947254,1500,116839.85714495071
2018-09-01 05:00:00,5643.225353949744,1237.1994258060238,2316.2659010746984,589.7595406448189,1500,116319.98184425662
2018-09-01 06:00:00,5544.659425022332,1205.7422548870934,2274.3230065161247,564.5938039096748,1500,113867.08478697119
2018-09-01 07:00:00,5471.868388803645,1182.5111029808043,2243.348137307739,546.0088823846434,1500,112063.57950781376
2018-09-01 08:00:00,5517.52268977911,1197.0816058370915,2262.775474449455,557.6652846696732,1500,113193.94135760106
2018-09-01 09:00:00,5684.448285266299,1250.355663568052,2333.807551424069,600.2845308544415,1500,117349.52777220926
2018-09-01 10:00:00,5888.223679885419,1315.3902811404573,2420.5203748539434,652.3122249123659,1500,122470.70092623963
2018-09-01 11:00:00,6038.5216275080975,1363.3576645941687,2484.4768861255584,690.686131675335,1500,126281.87680997595
2018-09-01 12:00:00,6118.7716824223135,1388.9696839510198,2518.626245268026,711.1757471608157,1500,128328.65070065654
2018-09-01 13:00:00,6185.639828173871,1410.3105814624798,2547.0807752833066,728.2484651699839,1500,130040.37897174165
2018-09-01 14:00:00,6290.393625342378,1443.742644290336,2591.6568590537813,754.9941154322688,1500,132733.40073263377
2018-09-01 15:00:00,6403.682427478822,1479.8986448683147,2639.8648598244195,783.9189158946517,1500,135661.60840600164
2018-09-01 16:00:00,6423.926754726685,1486.3596003543912,2648.4794671391883,789.087680283513,1500,136186.5947546867
2018-09-01 17:00:00,6267.425962369424,1436.4125391072591,2581.883385476345,749.1300312858073,1500,132141.74660775016
2018-09-01 18:00:00,5955.95296269895,1337.0059867201237,2449.3413156268316,669.604789376099,1500,124184.57455455391
2018-09-01 19:00:00,5616.562633957419,1228.690058024589,2304.9200773661187,582.9520464196712,1500,115655.23365732198
2018-09-01 20:00:00,5390.413863294322,1156.5150112384526,2208.68668165127,525.212008990762,1500,110053.44305725428
2018-09-01 21:00:00,5332.74339756028,1138.109567112764,2184.146089483685,510.4876536902111,1500,108635.37142938911
2018-09-01 22:00:00,5392.055871058354,1157.0390555958222,2209.3854074610963,525.6312444766578,1500,110093.88090802905
2018-09-01 23:00:00,5478.890986894083,1184.7523548091976,2246.33647307893,547.8018838473581,1500,112237.27992599226
2018-09-02 00:00:00,5550.652513615176,1207.6549402769529,2276.873253702604,566.1239522215624,1500,114015.8737739478
2018-09-02 01:00:00,5630.582498208844,1233.1644770334335,2310.8859693779114,586.5315816267469,1500,116004.66022590926
2018-09-02 02:00:00,5751.240520046804,1271.6723068383144,2362.2297424510857,617.3378454706516,1500,119022.27408600578
2018-09-02 03:00:00,5890.89156304326,1316.241732216068,2421.6556429547572,652.9933857728544,1500,122538.10028400377
2018-09-02 04:00:00,5976.153984040431,1343.453115400977,2457.9374872013027,674.7624923207816,1500,124696.89054435292
2018-09-02 05:00:00,5952.468689282207,1335.8939855648302,2447.8586474197737,668.7151884518642,1500,124096.2629369173
2018-09-02 06:00:00,5849.876652598704,1303.1518831405106,2404.2025108540142,642.5215065124086,1500,121502.93494814333
2018-09-02 07:00:00,5771.937086575009,1278.2775855365162,2371.036780715355,622.622068429213,1500,119541.75516391476
2018-09-02 08:00:00,5811.379861651723,1290.8656890587674,2387.8209187450234,632.692551247014,1500,120533.27767140153
2018-09-02 09:00:00,5971.104077020742,1341.8414443948957,2455.7885925265273,673.4731555159165,1500,124568.77154329368
2018-09-02 10:00:00,6166.774214678784,1404.289641004741,2539.0528546729884,723.431712803793,1500,129556.86838351865
2018-09-02 11:00:00,6308.160791175185,1449.4130163483474,2599.21735513113,759.530413078678,1500,133191.5504007792
2018-09-02 12:00:00,6378.801701837996,1471.957987771714,2629.277317028952,777.5663902173711,1500,135017.1052250211
2018-09-02 13:00:00,6435.480500788627,1490.0469661082489,2653.3959548109983,792.0375728865992,1500,136486.44696635622
2018-09-02 14:00:00,6529.59007503779,1520.0819365270188,2693.442582036025,816.065549221615,1500,138935.20234322912
2018-09-02 15:00:00,6631.91128020609,1552.737640237174,2736.983520316232,842.1901121897391,1500,141610.4556458279
2018-09-02 16:00:00,6641.000647260247,1555.6385020600922,2740.851336080123,844.5108016480738,1500,141848.74933007418
2018-09-02 17:00:00,6473.296318636623,1502.1158441101727,2669.487792146897,801.6926752881382,1500,137469.0654880989
2018-09-02 18:00:00,6150.710993859716,1399.163081185402,2532.217441580536,719.3304649483217,1500,129145.53900819915
2018-09-02 19:00:00,5800.438541119369,1287.3737827397135,2383.165043652951,629.8990261917709,1500,120258.03292566488
2018-09-02 20:00:00,5563.774244479932,1211.8427213394014,2282.4569617858683,569.4741770715211,1500,114341.80396651907
2018-09-02 21:00:00,5496.0868832056485,1190.240399768176,2253.653866357568,552.1923198145408,1500,112662.8775633783
2018-09-02 22:00:00,5546.007035354617,1206.1723427380996,2274.896456984133,564.9378741904798,1500,113900.53759267516
2018-09-02 23:00:00,5624.192604017752,1231.1251517218338,2308.166868962445,584.900121377467,1500,115845.36944690146
